image_index,class_index,class_name,simple_prompt,complex_prompt
36,3,cat,a bad photo of a cat.,a close-up photo of a modern cat.
37,7,horse,a small photo of the horse.,a jpeg corrupted photo of a big horse.
38,3,cat,a photo of a cat.,a blurry photo of a old cat.
39,3,cat,a blurry photo of a cat.,a photo of a fast cat.
40,5,dog,a jpeg corrupted photo of a dog.,a rendition of a cute dog.
41,2,bird,a rendition of a bird.,a photo of a modern bird.
42,2,bird,a black and white photo of the bird.,a cropped photo of a big bird.
43,7,horse,a pixelated photo of the horse.,a pixelated photo of the cute horse.
44,1,automobile,a photo of a automobile.,a photo of a fast automobile.
45,1,automobile,a cropped photo of a automobile.,a bright photo of a colorful automobile.
46,1,automobile,a photo of a automobile.,a low resolution photo of a strange automobile.
47,2,bird,a low resolution photo of a bird.,a bright photo of a big bird.
48,2,bird,a close-up photo of a bird.,a jpeg corrupted photo of a old bird.
49,0,airplane,a small photo of the airplane.,a photo of a strange airplane.
50,9,truck,a photo of a truck.,a pixelated photo of the small truck.
51,5,dog,a low resolution photo of a dog.,a close-up photo of a colorful dog.
52,7,horse,a jpeg corrupted photo of a horse.,a blurry photo of a big horse.
53,9,truck,a close-up photo of a truck.,a close-up photo of a cute truck.
54,2,bird,a cropped photo of a bird.,a bad photo of a old bird.
55,2,bird,a low resolution photo of a bird.,a pixelated photo of the old bird.
56,5,dog,a close-up photo of a dog.,a pixelated photo of the strange dog.
57,2,bird,a rendition of a bird.,a jpeg corrupted photo of a small bird.
58,4,deer,a pixelated photo of the deer.,a bad photo of a noisy deer.
59,3,cat,a close-up photo of a cat.,a black and white photo of the old cat.
60,1,automobile,a rendition of a automobile.,a low resolution photo of a big automobile.
61,1,automobile,a rendition of a automobile.,a bad photo of a modern automobile.
62,8,ship,a bad photo of a ship.,a blurry photo of a strange ship.
63,2,bird,a rendition of a bird.,a blurry photo of a strange bird.
64,1,automobile,a black and white photo of the automobile.,a blurry photo of a fast automobile.
65,1,automobile,a jpeg corrupted photo of a automobile.,a bad photo of a old automobile.
66,4,deer,a rendition of a deer.,a blurry photo of a strange deer.
67,9,truck,a rendition of a truck.,a blurry photo of a cute truck.
68,7,horse,a bright photo of a horse.,a bad photo of a realistic horse.
69,8,ship,a bad photo of a ship.,a pixelated photo of the fast ship.
70,5,dog,a rendition of a dog.,a photo of a cute dog.
71,9,truck,a photo of a truck.,a black and white photo of the modern truck.
72,6,frog,a pixelated photo of the frog.,a small photo of the fast frog.
73,7,horse,a pixelated photo of the horse.,a jpeg corrupted photo of a noisy horse.
74,3,cat,a blurry photo of a cat.,a rendition of a old cat.
75,1,automobile,a pixelated photo of the automobile.,a small photo of the modern automobile.
76,9,truck,a jpeg corrupted photo of a truck.,a close-up photo of a cute truck.
77,0,airplane,a rendition of a airplane.,a cropped photo of a big airplane.
78,3,cat,a black and white photo of the cat.,a bad photo of a colorful cat.
79,1,automobile,a photo of a automobile.,a bright photo of a realistic automobile.
80,3,cat,a cropped photo of a cat.,a cropped photo of a realistic cat.
81,5,dog,a small photo of the dog.,a jpeg corrupted photo of a small dog.
82,4,deer,a cropped photo of a deer.,a pixelated photo of the modern deer.
83,5,dog,a blurry photo of a dog.,a photo of a noisy dog.
84,7,horse,a small photo of the horse.,a small photo of the strange horse.
85,7,horse,a bad photo of a horse.,a jpeg corrupted photo of a strange horse.
86,4,deer,a low resolution photo of a deer.,a photo of a small deer.
87,7,horse,a photo of a horse.,a close-up photo of a big horse.
88,9,truck,a close-up photo of a truck.,a bright photo of a colorful truck.
89,4,deer,a rendition of a deer.,a small photo of the cute deer.
90,2,bird,a close-up photo of a bird.,a low resolution photo of a strange bird.
91,3,cat,a pixelated photo of the cat.,a blurry photo of a big cat.
92,8,ship,a cropped photo of a ship.,a blurry photo of a noisy ship.
93,0,airplane,a cropped photo of a airplane.,a small photo of the small airplane.
94,1,automobile,a bad photo of a automobile.,a black and white photo of the noisy automobile.
95,6,frog,a bad photo of a frog.,a close-up photo of a modern frog.
96,1,automobile,a photo of a automobile.,a low resolution photo of a big automobile.
97,1,automobile,a small photo of the automobile.,a blurry photo of a fast automobile.
98,4,deer,a blurry photo of a deer.,a blurry photo of a colorful deer.
99,1,automobile,a close-up photo of a automobile.,a rendition of a cute automobile.
100,8,ship,a bright photo of a ship.,a blurry photo of a small ship.
101,3,cat,a small photo of the cat.,a rendition of a big cat.
102,9,truck,a bad photo of a truck.,a jpeg corrupted photo of a strange truck.
103,6,frog,a low resolution photo of a frog.,a rendition of a modern frog.
104,6,frog,a pixelated photo of the frog.,a rendition of a small frog.
105,1,automobile,a rendition of a automobile.,a pixelated photo of the realistic automobile.
106,8,ship,a bad photo of a ship.,a black and white photo of the colorful ship.
107,5,dog,a cropped photo of a dog.,a low resolution photo of a colorful dog.
108,2,bird,a close-up photo of a bird.,a pixelated photo of the modern bird.
109,9,truck,a bad photo of a truck.,a blurry photo of a big truck.
110,9,truck,a bad photo of a truck.,a bright photo of a colorful truck.
111,8,ship,a bright photo of a ship.,a rendition of a colorful ship.
112,1,automobile,a jpeg corrupted photo of a automobile.,a small photo of the strange automobile.
113,7,horse,a low resolution photo of a horse.,a small photo of the fast horse.
114,7,horse,a low resolution photo of a horse.,a close-up photo of a realistic horse.
115,0,airplane,a cropped photo of a airplane.,a bright photo of a cute airplane.
116,0,airplane,a bad photo of a airplane.,a bad photo of a modern airplane.
117,6,frog,a photo of a frog.,a bright photo of a small frog.
118,9,truck,a bright photo of a truck.,a pixelated photo of the noisy truck.
119,1,automobile,a pixelated photo of the automobile.,a jpeg corrupted photo of a fast automobile.
120,2,bird,a rendition of a bird.,a blurry photo of a noisy bird.
121,2,bird,a pixelated photo of the bird.,a black and white photo of the cute bird.
122,9,truck,a cropped photo of a truck.,a black and white photo of the big truck.
123,2,bird,a small photo of the bird.,a cropped photo of a modern bird.
124,6,frog,a photo of a frog.,a small photo of the strange frog.
125,6,frog,a jpeg corrupted photo of a frog.,a black and white photo of the noisy frog.
126,1,automobile,a black and white photo of the automobile.,a black and white photo of the modern automobile.
127,9,truck,a black and white photo of the truck.,a bad photo of a old truck.
128,5,dog,a close-up photo of a dog.,a black and white photo of the old dog.
129,0,airplane,a cropped photo of a airplane.,a bright photo of a big airplane.
130,4,deer,a bright photo of a deer.,a low resolution photo of a modern deer.
131,7,horse,a jpeg corrupted photo of a horse.,a photo of a big horse.
132,6,frog,a jpeg corrupted photo of a frog.,a bright photo of a cute frog.
133,7,horse,a low resolution photo of a horse.,a bright photo of a realistic horse.
134,1,automobile,a rendition of a automobile.,a bright photo of a realistic automobile.
135,8,ship,a bright photo of a ship.,a pixelated photo of the small ship.
136,1,automobile,a close-up photo of a automobile.,a rendition of a noisy automobile.
137,1,automobile,a small photo of the automobile.,a bright photo of a realistic automobile.
138,2,bird,a bright photo of a bird.,a rendition of a realistic bird.
139,8,ship,a pixelated photo of the ship.,a rendition of a fast ship.
140,1,automobile,a cropped photo of a automobile.,a blurry photo of a old automobile.
141,3,cat,a blurry photo of a cat.,a bad photo of a strange cat.
142,3,cat,a small photo of the cat.,a black and white photo of the old cat.
143,6,frog,a black and white photo of the frog.,a black and white photo of the old frog.
144,2,bird,a cropped photo of a bird.,a low resolution photo of a cute bird.
145,4,deer,a photo of a deer.,a photo of a small deer.
146,9,truck,a small photo of the truck.,a jpeg corrupted photo of a small truck.
147,9,truck,a black and white photo of the truck.,a low resolution photo of a noisy truck.
148,5,dog,a bright photo of a dog.,a low resolution photo of a cute dog.
149,4,deer,a close-up photo of a deer.,a black and white photo of the noisy deer.
150,3,cat,a rendition of a cat.,a black and white photo of the realistic cat.
151,6,frog,a rendition of a frog.,a bad photo of a strange frog.
152,7,horse,a photo of a horse.,a bad photo of a noisy horse.
153,4,deer,a close-up photo of a deer.,a rendition of a fast deer.
154,6,frog,a photo of a frog.,a photo of a cute frog.
155,8,ship,a cropped photo of a ship.,a bright photo of a strange ship.
156,5,dog,a small photo of the dog.,a small photo of the realistic dog.
157,5,dog,a low resolution photo of a dog.,a blurry photo of a strange dog.
158,4,deer,a close-up photo of a deer.,a close-up photo of a big deer.
159,3,cat,a jpeg corrupted photo of a cat.,a bad photo of a fast cat.
160,1,automobile,a photo of a automobile.,a small photo of the noisy automobile.
161,8,ship,a jpeg corrupted photo of a ship.,a small photo of the old ship.
162,4,deer,a bad photo of a deer.,a black and white photo of the modern deer.
163,7,horse,a bright photo of a horse.,a low resolution photo of a old horse.
164,6,frog,a photo of a frog.,a jpeg corrupted photo of a realistic frog.
165,0,airplane,a close-up photo of a airplane.,a bad photo of a big airplane.
166,9,truck,a cropped photo of a truck.,a bright photo of a big truck.
167,5,dog,a photo of a dog.,a black and white photo of the fast dog.
168,1,automobile,a blurry photo of a automobile.,a blurry photo of a small automobile.
169,3,cat,a blurry photo of a cat.,a pixelated photo of the modern cat.
170,8,ship,a blurry photo of a ship.,a bad photo of a colorful ship.
171,2,bird,a bad photo of a bird.,a black and white photo of the fast bird.
172,7,horse,a low resolution photo of a horse.,a black and white photo of the modern horse.
173,5,dog,a cropped photo of a dog.,a rendition of a noisy dog.
174,3,cat,a blurry photo of a cat.,a rendition of a noisy cat.
175,4,deer,a close-up photo of a deer.,a cropped photo of a colorful deer.
176,1,automobile,a blurry photo of a automobile.,a bad photo of a big automobile.
177,5,dog,a low resolution photo of a dog.,a jpeg corrupted photo of a fast dog.
178,7,horse,a blurry photo of a horse.,a small photo of the big horse.
179,0,airplane,a cropped photo of a airplane.,a close-up photo of a colorful airplane.
180,4,deer,a small photo of the deer.,a low resolution photo of a big deer.
181,7,horse,a pixelated photo of the horse.,a pixelated photo of the noisy horse.
182,5,dog,a small photo of the dog.,a rendition of a colorful dog.
183,5,dog,a close-up photo of a dog.,a blurry photo of a modern dog.
184,1,automobile,a photo of a automobile.,a bright photo of a old automobile.
185,0,airplane,a close-up photo of a airplane.,a low resolution photo of a old airplane.
186,9,truck,a bright photo of a truck.,a low resolution photo of a fast truck.
187,6,frog,a pixelated photo of the frog.,a small photo of the fast frog.
188,9,truck,a cropped photo of a truck.,a close-up photo of a big truck.
189,0,airplane,a bad photo of a airplane.,a bad photo of a colorful airplane.
190,8,ship,a small photo of the ship.,a photo of a realistic ship.
191,7,horse,a pixelated photo of the horse.,a blurry photo of a colorful horse.
192,8,ship,a pixelated photo of the ship.,a blurry photo of a cute ship.
193,8,ship,a pixelated photo of the ship.,a photo of a realistic ship.
194,2,bird,a small photo of the bird.,a low resolution photo of a modern bird.
195,5,dog,a photo of a dog.,a small photo of the fast dog.
196,2,bird,a small photo of the bird.,a black and white photo of the colorful bird.
197,3,cat,a pixelated photo of the cat.,a rendition of a strange cat.
198,5,dog,a black and white photo of the dog.,a jpeg corrupted photo of a cute dog.
199,0,airplane,a close-up photo of a airplane.,a small photo of the realistic airplane.
200,6,frog,a small photo of the frog.,a bright photo of a strange frog.
201,1,automobile,a bad photo of a automobile.,a blurry photo of a noisy automobile.
202,9,truck,a pixelated photo of the truck.,a blurry photo of a fast truck.
203,3,cat,a bright photo of a cat.,a photo of a cute cat.
204,6,frog,a close-up photo of a frog.,a close-up photo of a noisy frog.
205,9,truck,a rendition of a truck.,a bad photo of a colorful truck.
206,1,automobile,a blurry photo of a automobile.,a black and white photo of the strange automobile.
207,3,cat,a close-up photo of a cat.,a rendition of a colorful cat.
208,9,truck,a black and white photo of the truck.,a black and white photo of the strange truck.
209,6,frog,a pixelated photo of the frog.,a small photo of the fast frog.
210,6,frog,a jpeg corrupted photo of a frog.,a low resolution photo of a old frog.
211,7,horse,a bright photo of a horse.,a low resolution photo of a colorful horse.
212,1,automobile,a close-up photo of a automobile.,a bright photo of a modern automobile.
213,0,airplane,a pixelated photo of the airplane.,a close-up photo of a big airplane.
214,9,truck,a blurry photo of a truck.,a bad photo of a noisy truck.
215,5,dog,a bad photo of a dog.,a rendition of a old dog.
216,8,ship,a photo of a ship.,a pixelated photo of the modern ship.
217,5,dog,a photo of a dog.,a black and white photo of the old dog.
218,2,bird,a photo of a bird.,a close-up photo of a big bird.
219,9,truck,a jpeg corrupted photo of a truck.,a bright photo of a noisy truck.
220,0,airplane,a low resolution photo of a airplane.,a close-up photo of a big airplane.
221,8,ship,a blurry photo of a ship.,a pixelated photo of the noisy ship.
222,8,ship,a close-up photo of a ship.,a cropped photo of a big ship.
223,0,airplane,a cropped photo of a airplane.,a close-up photo of a old airplane.
224,6,frog,a small photo of the frog.,a photo of a cute frog.
225,9,truck,a jpeg corrupted photo of a truck.,a cropped photo of a fast truck.
226,1,automobile,a bad photo of a automobile.,a bad photo of a old automobile.
227,1,automobile,a photo of a automobile.,a low resolution photo of a colorful automobile.
228,6,frog,a close-up photo of a frog.,a low resolution photo of a cute frog.
229,3,cat,a cropped photo of a cat.,a jpeg corrupted photo of a strange cat.
230,7,horse,a close-up photo of a horse.,a black and white photo of the noisy horse.
231,6,frog,a jpeg corrupted photo of a frog.,a bright photo of a colorful frog.
232,6,frog,a bright photo of a frog.,a small photo of the old frog.
233,0,airplane,a rendition of a airplane.,a cropped photo of a old airplane.
234,6,frog,a low resolution photo of a frog.,a jpeg corrupted photo of a small frog.
235,6,frog,a cropped photo of a frog.,a pixelated photo of the strange frog.
236,1,automobile,a close-up photo of a automobile.,a photo of a fast automobile.
237,7,horse,a rendition of a horse.,a low resolution photo of a cute horse.
238,1,automobile,a pixelated photo of the automobile.,a low resolution photo of a small automobile.
239,5,dog,a jpeg corrupted photo of a dog.,a photo of a old dog.
240,8,ship,a black and white photo of the ship.,a rendition of a colorful ship.
241,3,cat,a close-up photo of a cat.,a photo of a cute cat.
242,6,frog,a blurry photo of a frog.,a close-up photo of a fast frog.
243,6,frog,a close-up photo of a frog.,a blurry photo of a big frog.
244,8,ship,a pixelated photo of the ship.,a photo of a strange ship.
245,6,frog,a bad photo of a frog.,a close-up photo of a modern frog.
246,8,ship,a blurry photo of a ship.,a jpeg corrupted photo of a fast ship.
247,4,deer,a cropped photo of a deer.,a pixelated photo of the colorful deer.
248,6,frog,a blurry photo of a frog.,a bad photo of a fast frog.
249,6,frog,a low resolution photo of a frog.,a bright photo of a old frog.
250,1,automobile,a jpeg corrupted photo of a automobile.,a low resolution photo of a old automobile.
251,3,cat,a pixelated photo of the cat.,a jpeg corrupted photo of a big cat.
252,8,ship,a jpeg corrupted photo of a ship.,a blurry photo of a strange ship.
253,3,cat,a blurry photo of a cat.,a close-up photo of a fast cat.
254,4,deer,a black and white photo of the deer.,a cropped photo of a fast deer.
255,1,automobile,a blurry photo of a automobile.,a bright photo of a small automobile.
256,7,horse,a bad photo of a horse.,a low resolution photo of a big horse.
257,1,automobile,a blurry photo of a automobile.,a jpeg corrupted photo of a old automobile.
258,3,cat,a blurry photo of a cat.,a small photo of the colorful cat.
259,8,ship,a pixelated photo of the ship.,a low resolution photo of a big ship.
260,5,dog,a black and white photo of the dog.,a small photo of the strange dog.
261,1,automobile,a close-up photo of a automobile.,a cropped photo of a colorful automobile.
262,1,automobile,a black and white photo of the automobile.,a bad photo of a strange automobile.
263,4,deer,a cropped photo of a deer.,a photo of a fast deer.
264,0,airplane,a jpeg corrupted photo of a airplane.,a black and white photo of the strange airplane.
265,9,truck,a small photo of the truck.,a close-up photo of a realistic truck.
266,3,cat,a jpeg corrupted photo of a cat.,a small photo of the noisy cat.
267,7,horse,a close-up photo of a horse.,a bad photo of a old horse.
268,4,deer,a small photo of the deer.,a pixelated photo of the fast deer.
269,9,truck,a bright photo of a truck.,a bright photo of a strange truck.
270,9,truck,a close-up photo of a truck.,a small photo of the colorful truck.
271,2,bird,a cropped photo of a bird.,a cropped photo of a colorful bird.
272,4,deer,a close-up photo of a deer.,a jpeg corrupted photo of a colorful deer.
273,9,truck,a photo of a truck.,a black and white photo of the small truck.
274,9,truck,a rendition of a truck.,a black and white photo of the modern truck.
275,1,automobile,a cropped photo of a automobile.,a small photo of the big automobile.
276,0,airplane,a low resolution photo of a airplane.,a bad photo of a colorful airplane.
277,5,dog,a photo of a dog.,a jpeg corrupted photo of a colorful dog.
278,9,truck,a photo of a truck.,a blurry photo of a big truck.
279,0,airplane,a small photo of the airplane.,a cropped photo of a modern airplane.
280,8,ship,a blurry photo of a ship.,a jpeg corrupted photo of a colorful ship.
281,2,bird,a cropped photo of a bird.,a low resolution photo of a big bird.
282,1,automobile,a pixelated photo of the automobile.,a pixelated photo of the noisy automobile.
283,2,bird,a low resolution photo of a bird.,a low resolution photo of a modern bird.
284,0,airplane,a jpeg corrupted photo of a airplane.,a small photo of the modern airplane.
285,5,dog,a low resolution photo of a dog.,a close-up photo of a noisy dog.
286,6,frog,a bright photo of a frog.,a low resolution photo of a strange frog.
287,3,cat,a cropped photo of a cat.,a close-up photo of a strange cat.
288,2,bird,a pixelated photo of the bird.,a pixelated photo of the small bird.
289,7,horse,a pixelated photo of the horse.,a bright photo of a cute horse.
290,8,ship,a photo of a ship.,a close-up photo of a colorful ship.
291,8,ship,a low resolution photo of a ship.,a rendition of a strange ship.
292,6,frog,a small photo of the frog.,a blurry photo of a noisy frog.
293,0,airplane,a black and white photo of the airplane.,a bright photo of a realistic airplane.
294,7,horse,a bad photo of a horse.,a close-up photo of a big horse.
295,9,truck,a cropped photo of a truck.,a photo of a realistic truck.
296,4,deer,a rendition of a deer.,a rendition of a strange deer.
297,5,dog,a low resolution photo of a dog.,a bad photo of a old dog.
298,6,frog,a low resolution photo of a frog.,a bright photo of a colorful frog.
299,4,deer,a pixelated photo of the deer.,a photo of a strange deer.
300,2,bird,a close-up photo of a bird.,a rendition of a modern bird.
301,1,automobile,a photo of a automobile.,a jpeg corrupted photo of a strange automobile.
302,1,automobile,a small photo of the automobile.,a cropped photo of a colorful automobile.
303,2,bird,a bright photo of a bird.,a blurry photo of a small bird.
304,1,automobile,a bright photo of a automobile.,a blurry photo of a fast automobile.
305,5,dog,a close-up photo of a dog.,a close-up photo of a small dog.
306,9,truck,a blurry photo of a truck.,a bad photo of a big truck.
307,9,truck,a jpeg corrupted photo of a truck.,a black and white photo of the strange truck.
308,0,airplane,a jpeg corrupted photo of a airplane.,a close-up photo of a modern airplane.
309,8,ship,a cropped photo of a ship.,a pixelated photo of the noisy ship.
310,4,deer,a rendition of a deer.,a bright photo of a cute deer.
311,1,automobile,a pixelated photo of the automobile.,a cropped photo of a fast automobile.
312,1,automobile,a pixelated photo of the automobile.,a cropped photo of a realistic automobile.
313,6,frog,a pixelated photo of the frog.,a small photo of the modern frog.
314,3,cat,a rendition of a cat.,a black and white photo of the cute cat.
315,3,cat,a photo of a cat.,a small photo of the cute cat.
316,9,truck,a jpeg corrupted photo of a truck.,a low resolution photo of a colorful truck.
317,0,airplane,a blurry photo of a airplane.,a close-up photo of a noisy airplane.
318,7,horse,a cropped photo of a horse.,a black and white photo of the big horse.
319,9,truck,a rendition of a truck.,a photo of a realistic truck.
320,7,horse,a blurry photo of a horse.,a blurry photo of a noisy horse.
321,7,horse,a close-up photo of a horse.,a small photo of the colorful horse.
322,9,truck,a bad photo of a truck.,a blurry photo of a fast truck.
323,1,automobile,a rendition of a automobile.,a photo of a old automobile.
324,5,dog,a photo of a dog.,a low resolution photo of a realistic dog.
325,1,automobile,a low resolution photo of a automobile.,a small photo of the cute automobile.
326,6,frog,a rendition of a frog.,a cropped photo of a realistic frog.
327,6,frog,a photo of a frog.,a black and white photo of the fast frog.
328,8,ship,a low resolution photo of a ship.,a cropped photo of a cute ship.
329,7,horse,a close-up photo of a horse.,a cropped photo of a big horse.
330,1,automobile,a bad photo of a automobile.,a bright photo of a strange automobile.
331,3,cat,a close-up photo of a cat.,a blurry photo of a fast cat.
332,0,airplane,a close-up photo of a airplane.,a low resolution photo of a realistic airplane.
333,3,cat,a pixelated photo of the cat.,a cropped photo of a noisy cat.
334,3,cat,a small photo of the cat.,a bright photo of a cute cat.
335,2,bird,a blurry photo of a bird.,a bright photo of a modern bird.
336,4,deer,a close-up photo of a deer.,a bad photo of a big deer.
337,5,dog,a rendition of a dog.,a photo of a big dog.
338,7,horse,a black and white photo of the horse.,a low resolution photo of a old horse.
339,5,dog,a rendition of a dog.,a close-up photo of a noisy dog.
340,9,truck,a close-up photo of a truck.,a small photo of the cute truck.
341,0,airplane,a jpeg corrupted photo of a airplane.,a rendition of a strange airplane.
342,3,cat,a bad photo of a cat.,a low resolution photo of a old cat.
343,4,deer,a blurry photo of a deer.,a jpeg corrupted photo of a fast deer.
344,0,airplane,a jpeg corrupted photo of a airplane.,a black and white photo of the colorful airplane.
345,4,deer,a small photo of the deer.,a photo of a big deer.
346,4,deer,a bad photo of a deer.,a cropped photo of a noisy deer.
347,6,frog,a black and white photo of the frog.,a close-up photo of a cute frog.
348,0,airplane,a jpeg corrupted photo of a airplane.,a rendition of a old airplane.
349,0,airplane,a black and white photo of the airplane.,a photo of a fast airplane.
350,6,frog,a close-up photo of a frog.,a cropped photo of a modern frog.
351,6,frog,a close-up photo of a frog.,a cropped photo of a big frog.
352,0,airplane,a jpeg corrupted photo of a airplane.,a small photo of the realistic airplane.
353,8,ship,a small photo of the ship.,a bad photo of a strange ship.
354,1,automobile,a close-up photo of a automobile.,a blurry photo of a realistic automobile.
355,6,frog,a small photo of the frog.,a bad photo of a small frog.
356,2,bird,a rendition of a bird.,a blurry photo of a colorful bird.
357,9,truck,a cropped photo of a truck.,a close-up photo of a big truck.
358,2,bird,a jpeg corrupted photo of a bird.,a close-up photo of a old bird.
359,5,dog,a jpeg corrupted photo of a dog.,a cropped photo of a modern dog.
360,9,truck,a photo of a truck.,a cropped photo of a realistic truck.
361,6,frog,a close-up photo of a frog.,a close-up photo of a modern frog.
362,7,horse,a bright photo of a horse.,a jpeg corrupted photo of a cute horse.
363,4,deer,a pixelated photo of the deer.,a rendition of a strange deer.
364,1,automobile,a photo of a automobile.,a jpeg corrupted photo of a strange automobile.
365,8,ship,a photo of a ship.,a cropped photo of a cute ship.
366,7,horse,a pixelated photo of the horse.,a bright photo of a big horse.
367,3,cat,a close-up photo of a cat.,a bad photo of a small cat.
368,6,frog,a photo of a frog.,a pixelated photo of the realistic frog.
369,9,truck,a blurry photo of a truck.,a close-up photo of a big truck.
370,3,cat,a small photo of the cat.,a pixelated photo of the fast cat.
371,0,airplane,a blurry photo of a airplane.,a small photo of the colorful airplane.
372,4,deer,a black and white photo of the deer.,a low resolution photo of a fast deer.
373,0,airplane,a cropped photo of a airplane.,a bright photo of a colorful airplane.
374,5,dog,a cropped photo of a dog.,a rendition of a strange dog.
375,1,automobile,a cropped photo of a automobile.,a pixelated photo of the colorful automobile.
376,0,airplane,a small photo of the airplane.,a bright photo of a small airplane.
377,3,cat,a blurry photo of a cat.,a pixelated photo of the fast cat.
378,4,deer,a pixelated photo of the deer.,a blurry photo of a noisy deer.
379,8,ship,a close-up photo of a ship.,a low resolution photo of a small ship.
380,5,dog,a photo of a dog.,a black and white photo of the fast dog.
381,4,deer,a bright photo of a deer.,a photo of a old deer.
382,7,horse,a jpeg corrupted photo of a horse.,a black and white photo of the cute horse.
383,2,bird,a pixelated photo of the bird.,a rendition of a old bird.
384,3,cat,a pixelated photo of the cat.,a rendition of a realistic cat.
385,9,truck,a pixelated photo of the truck.,a blurry photo of a modern truck.
386,7,horse,a close-up photo of a horse.,a bad photo of a realistic horse.
387,6,frog,a cropped photo of a frog.,a cropped photo of a fast frog.
388,7,horse,a rendition of a horse.,a small photo of the fast horse.
389,1,automobile,a low resolution photo of a automobile.,a small photo of the cute automobile.
390,4,deer,a bad photo of a deer.,a low resolution photo of a old deer.
391,7,horse,a close-up photo of a horse.,a jpeg corrupted photo of a realistic horse.
392,0,airplane,a blurry photo of a airplane.,a blurry photo of a small airplane.
393,1,automobile,a close-up photo of a automobile.,a blurry photo of a noisy automobile.
394,7,horse,a bad photo of a horse.,a cropped photo of a old horse.
395,3,cat,a jpeg corrupted photo of a cat.,a photo of a realistic cat.
396,1,automobile,a bad photo of a automobile.,a black and white photo of the noisy automobile.
397,8,ship,a cropped photo of a ship.,a bright photo of a realistic ship.
398,4,deer,a blurry photo of a deer.,a jpeg corrupted photo of a noisy deer.
399,4,deer,a small photo of the deer.,a blurry photo of a colorful deer.
400,2,bird,a bad photo of a bird.,a rendition of a modern bird.
401,0,airplane,a jpeg corrupted photo of a airplane.,a bad photo of a old airplane.
402,2,bird,a black and white photo of the bird.,a small photo of the noisy bird.
403,2,bird,a cropped photo of a bird.,a cropped photo of a strange bird.
404,0,airplane,a small photo of the airplane.,a cropped photo of a cute airplane.
405,0,airplane,a pixelated photo of the airplane.,a small photo of the big airplane.
406,9,truck,a bad photo of a truck.,a photo of a old truck.
407,0,airplane,a bad photo of a airplane.,a bad photo of a fast airplane.
408,9,truck,a small photo of the truck.,a photo of a big truck.
409,6,frog,a jpeg corrupted photo of a frog.,a blurry photo of a old frog.
410,8,ship,a low resolution photo of a ship.,a small photo of the old ship.
411,2,bird,a pixelated photo of the bird.,a bad photo of a modern bird.
412,7,horse,a low resolution photo of a horse.,a pixelated photo of the modern horse.
413,7,horse,a bad photo of a horse.,a jpeg corrupted photo of a colorful horse.
414,4,deer,a pixelated photo of the deer.,a rendition of a modern deer.
415,0,airplane,a bad photo of a airplane.,a rendition of a fast airplane.
416,3,cat,a pixelated photo of the cat.,a low resolution photo of a big cat.
417,0,airplane,a cropped photo of a airplane.,a pixelated photo of the small airplane.
